what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.0.v20080605-1800,org.eclipse.ltk.ui.refactoring,1262732791890
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1262732792000
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1262732792125
started,bundle,org.eclipse.jdt.apt.core,3.3.100.v20080513-1235,org.eclipse.jdt.apt.core,1262732793078
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.100.v20080407-1345,org.eclipse.jdt.apt.pluggable.core,1262732793078
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1262732793531
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1262732794750
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1262732794828
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1262732798125
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732799156
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732799421
executed,command,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar,1262732800406
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1262732803000
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732805859
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732805859
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732805937
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262733457875
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1262733459640
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262733461453
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262733478265
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262733479250
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262733486546
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1262733491750
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1262733501562
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1262733509015
