what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PropertiesFileEditor,1262735200906
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1262735203671
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1262735207765
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1262735208937
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PropertiesFileEditor,1262735213906
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.navigate.backwardHistory,1262735213921
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1262735215390
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.navigate.forwardHistory,1262735215406
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.wordPrevious,1262735218828
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.wordPrevious,1262735219078
executed,command,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar,1262735221703
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1262735224000
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735229062
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735229843
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735231046
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735245656
started,bundle,org.python.pydev.core,1.4.5.2727,org.python.pydev.core,1262735245937
started,bundle,org.python.pydev.debug,1.4.5.2727,org.python.pydev.debug,1262735245937
executed,command,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar,1262735246531
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735261453
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735279687
executed,command,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar,1262735282921
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735291578
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735298890
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PropertiesFileEditor,1262735300187
