what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262734065937
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262734066031
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262734094562
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262734097984
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262734097984
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262734098078
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262734099671
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262734102687
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262734108562
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262734108828
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262734109625
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262734109937
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262734115796
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1262734127656
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1262734135609
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1262734135687
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1262734139125
closed,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1262734139140
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1262734139875
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1262734140093
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1262734140187
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1262734145484
closed,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1262734145484
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1262734151609
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262734160281
