what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui,1262730049921
started,bundle,org.eclipse.core.filebuffers,3.4.0.v20080603-2000,org.eclipse.core.filebuffers,1262730050046
opened,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1262730050843
opened,view,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.ui.views.ProblemView,1262730051031
activated,perspective,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.JavaPerspective,1262730051062
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1262730051140
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730054468
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730057093
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.import,1262730057093
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.import,1262730057093
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730057515
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730085546
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730088109
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730094250
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730098562
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730112125
closed,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730112218
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1262730112296
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ant,1262730112421
stopped,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1262730112421
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.0.v20080619-1900,org.eclipse.mylyn.java.tasks,1262730112421
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.java.ui,1262730112421
stopped,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1262730112421
stopped,bundle,org.eclipse.jdt.debug.ui,3.3.0.v20080603,org.eclipse.jdt.debug.ui,1262730112421
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.100.v20080407-1345,org.eclipse.jdt.apt.ui,1262730112421
