what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262731778406
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262731780687
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.window.nextEditor,1262731780687
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262731781828
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262731784453
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.window.nextView,1262731784453
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262731784828
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262731795187
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.findIncremental,1262731796359
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.findIncremental,1262731800125
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.findIncremental,1262731800531
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.findIncremental,1262731800750
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.findIncremental,1262731800937
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.findIncremental,1262731801109
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.findIncremental,1262731801281
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262731802187
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262731818843
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262731819109
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732156203
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.lineEnd,1262732163390
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.text.contentAssist.proposals,1262732175156
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1262732177093
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.wordNext,1262732178750
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.wordPrevious,1262732178953
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1262732180453
