what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262734428609
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262734429171
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262734429453
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262734442671
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262734443906
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262734443906
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262734443968
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262734448359
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262734449609
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262734463562
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262734467656
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262734467656
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262734467718
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262734521531
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1262734529265
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PropertiesFileEditor,1262734529515
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PropertiesFileEditor,1262734529562
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1262734531281
closed,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PropertiesFileEditor,1262734531281
executed,command,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar,1262734532031
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262734535515
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262734535515
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262734535562
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735196328
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1262735199578
