what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1262735835218
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1262735847828
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1262735848078
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1262735851625
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1262735851843
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PropertiesFileEditor,1262735854781
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1262735857187
started,bundle,org.eclipse.wst.xml.core,1.1.300.v200806051910,org.eclipse.wst.xml.core,1262735857546
opened,editor,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui.internal.editor.AntEditor,1262735857890
activated,editor,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui.internal.editor.AntEditor,1262735858031
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1262735863484
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1262735864546
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735873531
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735900953
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735907125
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735918703
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735918921
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735921328
opened,view,org.eclipse.debug.ui,3.4.0.v20080529-1300,org.eclipse.debug.ui.DebugView,1262735921562
started,bundle,org.eclipse.mylyn.ide.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ui,1262735921640
opened,view,org.eclipse.debug.ui,3.4.0.v20080529-1300,org.eclipse.debug.ui.BreakpointView,1262735921671
opened,view,org.eclipse.debug.ui,3.4.0.v20080529-1300,org.eclipse.debug.ui.VariableView,1262735921750
activated,perspective,org.eclipse.debug.ui,3.4.0.v20080529-1300,org.eclipse.debug.ui.DebugPerspective,1262735921781
activated,editor,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui.internal.editor.AntEditor,1262735921796
opened,view,org.eclipse.debug.ui,3.4.0.v20080529-1300,org.eclipse.debug.ui.ExpressionView,1262735922437
