what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735463468
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735463546
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735470203
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735480359
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735481937
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735505078
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735505093
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735505171
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735599296
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735600296
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735604625
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735605265
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735608296
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735609968
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735616484
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1262735618437
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735622546
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735688593
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1262735689843
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735690906
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735763500
executed,command,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar,1262735767671
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1262735769843
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735783328
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735834171
