what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.jdt.debug.ui,3.3.0.v20080603,org.eclipse.jdt.debug.ui.DisplayView,1262735922562
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1262735922671
activated,view,org.eclipse.debug.ui,3.4.0.v20080529-1300,org.eclipse.debug.ui.VariableView,1262735926406
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1262735937968
activated,view,org.eclipse.debug.ui,3.4.0.v20080529-1300,org.eclipse.debug.ui.DebugView,1262735939406
executed,command,org.eclipse.debug.ui,3.4.0.v20080529-1300,org.eclipse.debug.ui.commands.Terminate,1262735939468
closed,view,org.eclipse.jdt.debug.ui,3.3.0.v20080603,org.eclipse.jdt.debug.ui.DisplayView,1262735939484
closed,view,org.eclipse.debug.ui,3.4.0.v20080529-1300,org.eclipse.debug.ui.ExpressionView,1262735939484
activated,perspective,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.JavaPerspective,1262735940734
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1262735940734
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PropertiesFileEditor,1262735941812
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1262735944843
executed,command,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar,1262735946265
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735948718
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735948718
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735948734
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262736025187
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1262736027234
executed,command,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar,1262736028015
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262736029703
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262736031062
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262736054593
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262736076906
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.wordNext,1262736079921
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.wordNext,1262736080093
