what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1262735303156
executed,command,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar,1262735304968
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1262735308390
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735309281
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735338640
executed,command,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar,1262735341968
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1262735343843
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1262735357062
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1262735358531
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1262735358625
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1262735385703
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1262735390609
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1262735409796
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1262735415562
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1262735415921
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1262735423265
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735440515
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735440531
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735442546
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735448781
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735450031
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735450046
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735450109
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735463140
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262735463468
