what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730291546
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730295781
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730318187
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730322500
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730334171
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.refresh,1262730335937
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730337875
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730344125
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.refresh,1262730345171
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730348375
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730348843
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730356156
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730362187
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.properties,1262730362203
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730363703
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730377187
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730386046
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730390937
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.properties,1262730390953
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730398578
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730404015
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.properties,1262730404015
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730407796
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730408375
started,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1262730413718
