what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.wordPrevious,1262736080500
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1262736086484
executed,command,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar,1262736088265
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262736126000
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262736126000
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262736126093
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262736226234
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262736228562
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262736232734
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1262736237312
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1262736239750
executed,command,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar,1262736243406
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262736245796
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262736508734
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262736509531
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262736512187
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262736512781
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262738742921
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262738747468
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262738748796
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262738750125
started,bundle,org.eclipse.mylyn.ide.ant,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ant,1262738750140
started,bundle,org.eclipse.mylyn.resources.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.resources.ui,1262738750156
closed,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262738750375
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ant,1262738750562
