what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732438421
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732444671
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732445265
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732460593
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732461796
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732462562
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732464343
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732507859
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732529062
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732534015
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PropertiesFileEditor,1262732534031
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732534921
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732535765
started,bundle,org.eclipse.mylyn.ide.ant,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ant,1262732535781
started,bundle,org.eclipse.mylyn.resources.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.resources.ui,1262732535781
closed,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732535937
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ant,1262732536078
stopped,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1262732536078
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.0.v20080619-1900,org.eclipse.mylyn.java.tasks,1262732536078
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.java.ui,1262732536156
stopped,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1262732536156
stopped,bundle,org.eclipse.jdt.debug.ui,3.3.0.v20080603,org.eclipse.jdt.debug.ui,1262732536156
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.100.v20080407-1345,org.eclipse.jdt.apt.ui,1262732536156
stopped,bundle,org.python.pydev.mylyn,0.3,org.python.pydev.mylyn,1262732536156
stopped,bundle,org.python.pydev.debug,1.4.5.2727,org.python.pydev.debug,1262732536171
