what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.import,1262730159843
started,bundle,org.eclipse.jdt.apt.core,3.3.100.v20080513-1235,org.eclipse.jdt.apt.core,1262730160375
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.100.v20080407-1345,org.eclipse.jdt.apt.pluggable.core,1262730160421
activated,view,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.ui.views.ProblemView,1262730161953
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730166765
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730166765
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730166875
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730174875
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1262730182609
started,bundle,org.eclipse.wst.sse.core,1.1.300.v200805221633,org.eclipse.wst.sse.core,1262730182953
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1262730184359
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730185593
started,bundle,org.eclipse.ltk.core.refactoring,3.4.0.v20080603-2000,org.eclipse.ltk.core.refactoring,1262730195171
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.0.v20080605-1800,org.eclipse.ltk.ui.refactoring,1262730195203
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730252453
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.properties,1262730252468
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730256937
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730261546
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.properties,1262730261562
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730263750
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730269828
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.properties,1262730269843
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730272203
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730272218
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262730272265
