what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732564656
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732714734
started,bundle,org.eclipse.debug.ui,3.4.0.v20080529-1300,org.eclipse.debug.ui,1262732720531
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools,1262732720531
executed,command,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar,1262732720562
started,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1262732720578
started,bundle,org.eclipse.wst.sse.core,1.1.300.v200805221633,org.eclipse.wst.sse.core,1262732720593
started,bundle,org.eclipse.ant.core,3.2.0.v20080529,org.eclipse.ant.core,1262732720671
started,bundle,org.eclipse.jdt.debug,3.4.0.v20080604,org.eclipse.jdt.debug,1262732720828
started,bundle,org.eclipse.jdt.debug.ui,3.3.0.v20080603,org.eclipse.jdt.debug.ui,1262732720921
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1262732722390
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732736000
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732736000
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732736359
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732746390
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732750390
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732756328
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732757593
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732758140
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1262732761796
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732771343
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732784171
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732784968
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732788234
started,bundle,org.eclipse.ltk.core.refactoring,3.4.0.v20080603-2000,org.eclipse.ltk.core.refactoring,1262732791156
