what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1262732223609
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.navigate.backwardHistory,1262732223625
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PropertiesFileEditor,1262732224718
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.navigate.forwardHistory,1262732224734
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732225156
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732248281
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1262732251265
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732261218
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732261906
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732266078
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732275015
executed,command,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations,1262732275062
opened,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1262732277296
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1262732277312
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732299156
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732316250
started,bundle,org.python.pydev.core,1.4.5.2727,org.python.pydev.core,1262732316500
started,bundle,org.python.pydev.debug,1.4.5.2727,org.python.pydev.debug,1262732316500
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1262732317468
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732320171
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732399656
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1262732400687
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.copy,1262732401843
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732402078
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262732436781
