what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.select.wordNext,1262731713125
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1262731714843
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262731715218
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262731715781
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.navigate.backwardHistory,1262731716046
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.navigate.forwardHistory,1262731716562
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PropertiesFileEditor,1262731717937
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1262731722968
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262731723500
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262731723500
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262731723562
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262731758937
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262731759765
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.window.openEditorDropDown,1262731759781
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262731760906
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262731761437
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262731761687
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PropertiesFileEditor,1262731762109
closed,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1262731762125
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.close,1262731762140
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1262731764718
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1262731764937
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1262731765031
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262731766093
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262731777218
